seed,data_fraction,error
42,0.01,"404 Client Error. (Request ID: Root=1-69c1ba47-2c33448b50e2e8f20586d314;25823759-4f14-4a3a-988b-059b82a3de3f)

Entry Not Found for url: https://huggingface.co/api/models/sentence-transformers/paraphrase-mpnet-base-v2/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
42,0.05,"404 Client Error. (Request ID: Root=1-69c1ba4c-7c08000430eb509b40fab37d;2019af7f-ec5b-429b-8b7e-50ea0e6aed81)

Entry Not Found for url: https://huggingface.co/api/models/sentence-transformers/paraphrase-mpnet-base-v2/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
42,0.1,"404 Client Error. (Request ID: Root=1-69c1ba50-6d1a4e2142d2630d35d3fb20;a750ccea-632a-4eb4-80b3-137b94830877)

Entry Not Found for url: https://huggingface.co/api/models/sentence-transformers/paraphrase-mpnet-base-v2/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
42,0.25,"404 Client Error. (Request ID: Root=1-69c1ba54-4aa6d8a91038678a06771fc5;7c300886-140a-45ab-a241-6c66cfc3e778)

Entry Not Found for url: https://huggingface.co/api/models/sentence-transformers/paraphrase-mpnet-base-v2/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
42,0.5,"404 Client Error. (Request ID: Root=1-69c1ba59-5fb6796f654029fd2bd306af;c9418fa9-c03e-4ecb-9789-a82b3775ed61)

Entry Not Found for url: https://huggingface.co/api/models/sentence-transformers/paraphrase-mpnet-base-v2/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
42,1.0,"404 Client Error. (Request ID: Root=1-69c1ba5d-5335864e4cbac2d774f57044;2412a660-35b2-4383-b7f0-550faab506c5)

Entry Not Found for url: https://huggingface.co/api/models/sentence-transformers/paraphrase-mpnet-base-v2/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
7,0.01,"404 Client Error. (Request ID: Root=1-69c1ba62-7f8ea6354940cdeb3d96f64c;c39d550a-9fe9-48b1-b997-097351c83ae9)

Entry Not Found for url: https://huggingface.co/api/models/sentence-transformers/paraphrase-mpnet-base-v2/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
7,0.05,"404 Client Error. (Request ID: Root=1-69c1ba66-102bac6e2a6f9f856fd7882d;3c4fa3c7-d86e-411f-8e44-62cfdb3ee76d)

Entry Not Found for url: https://huggingface.co/api/models/sentence-transformers/paraphrase-mpnet-base-v2/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
7,0.1,"404 Client Error. (Request ID: Root=1-69c1ba6a-638f5e1e1efb143c5c47afa8;89109f95-3cb9-4848-82cf-6df95b3c4f87)

Entry Not Found for url: https://huggingface.co/api/models/sentence-transformers/paraphrase-mpnet-base-v2/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
7,0.25,"404 Client Error. (Request ID: Root=1-69c1ba6e-372195307d7817206c49b504;d2177557-c84a-4644-b979-92386a5e16d3)

Entry Not Found for url: https://huggingface.co/api/models/sentence-transformers/paraphrase-mpnet-base-v2/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
7,0.5,"404 Client Error. (Request ID: Root=1-69c1ba72-3c2a07113983ec0a585a040d;864dc62d-d563-44e3-9a44-4f7ab635426d)

Entry Not Found for url: https://huggingface.co/api/models/sentence-transformers/paraphrase-mpnet-base-v2/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
7,1.0,"404 Client Error. (Request ID: Root=1-69c1ba76-7c35d9606c7a602a49fe1381;1ea3d32a-533e-4e4e-9394-c8d2e54d8ff2)

Entry Not Found for url: https://huggingface.co/api/models/sentence-transformers/paraphrase-mpnet-base-v2/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
21,0.01,"404 Client Error. (Request ID: Root=1-69c1ba7b-423efd195296ac0a335e8a17;f74eb40f-f997-4f02-84ea-9f0f63b5240e)

Entry Not Found for url: https://huggingface.co/api/models/sentence-transformers/paraphrase-mpnet-base-v2/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
21,0.05,"404 Client Error. (Request ID: Root=1-69c1ba7f-33c9593938387f136ed744d4;9a5164e7-e780-4288-868b-a1dc91dc2b90)

Entry Not Found for url: https://huggingface.co/api/models/sentence-transformers/paraphrase-mpnet-base-v2/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
21,0.1,"404 Client Error. (Request ID: Root=1-69c1ba83-5209cc7712fbcb9145a3e485;6c3386be-e5ae-4330-a780-5544b776a2ab)

Entry Not Found for url: https://huggingface.co/api/models/sentence-transformers/paraphrase-mpnet-base-v2/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
21,0.25,"404 Client Error. (Request ID: Root=1-69c1ba87-552720567667b5e639352d4c;facf0db4-12f9-4ca4-8f4b-becd3a83616f)

Entry Not Found for url: https://huggingface.co/api/models/sentence-transformers/paraphrase-mpnet-base-v2/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
21,0.5,"404 Client Error. (Request ID: Root=1-69c1ba8b-1405df353f0940a3602d3b5b;5f3d308d-e4f6-4487-a264-419e1529e812)

Entry Not Found for url: https://huggingface.co/api/models/sentence-transformers/paraphrase-mpnet-base-v2/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
21,1.0,"404 Client Error. (Request ID: Root=1-69c1ba90-6d39e3c85c13d47a712e42f4;73a5d2e0-eedc-4ff0-a8cf-626d0e353cd7)

Entry Not Found for url: https://huggingface.co/api/models/sentence-transformers/paraphrase-mpnet-base-v2/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
