method,data_fraction,seed,accuracy,macro_f1,micro_f1,hamming_loss
svm_tfidf,0.01,7,0.1627049935507647,0.1569240287815072,0.26994006454587366,0.04168311879754666
svm_tfidf,0.05,7,0.2581536760641238,0.27330518125295117,0.4082907438955139,0.04114348890468293
svm_tfidf,0.1,7,0.26515570296664825,0.32171278975359957,0.42549051402626886,0.04663191976624812
svm_tfidf,0.25,7,0.244149622259075,0.35060969923690166,0.4365432098765432,0.052561267735397085
svm_tfidf,0.5,7,0.20932375161230882,0.35709983306615456,0.42710727374371077,0.06069520124246493
svm_tfidf,1.0,7,0.14427860696517414,0.34207338656713493,0.40318302387267907,0.07255389718076286
svm_tfidf,0.01,21,0.18610650451446473,0.1426649584016584,0.30037400654511454,0.03939298217905183
svm_tfidf,0.05,21,0.27750138197899393,0.2869984190597397,0.42516309412861136,0.04059069730711522
svm_tfidf,0.1,21,0.2620232172470978,0.3435074980332357,0.42778408169881665,0.04646081760509621
svm_tfidf,0.25,21,0.23346231803943246,0.36340298639729735,0.42936673625608907,0.05396298928637237
svm_tfidf,0.5,21,0.18758061544131197,0.36499369938382503,0.4196300678831662,0.0613269630682566
svm_tfidf,1.0,21,0.14427860696517414,0.34207338656713493,0.40318302387267907,0.07255389718076286
svm_tfidf,0.01,42,0.16528468767274737,0.1461725865655712,0.28188380886902714,0.041242201689962885
svm_tfidf,0.05,42,0.2528100239543026,0.2790234773540714,0.40235800505286795,0.04203190397220248
svm_tfidf,0.1,42,0.261654689515386,0.32387163913752304,0.4328561145325122,0.04666482402800811
svm_tfidf,0.25,42,0.2445181499907868,0.36295088790846963,0.4322075724458859,0.052995603990628866
svm_tfidf,0.5,42,0.19697807259996314,0.3459065166549245,0.4206857925197585,0.061261154544736636
svm_tfidf,1.0,42,0.14427860696517414,0.34207338656713493,0.40318302387267907,0.07255389718076286
